				poi_id	poi_title
平乐镇茶马古道中段	天府川西竹海景区	103.304008	30.343098	101001000088	川西竹海景区
环球中心天堂岛海洋乐园(新世纪环球中心)	四川省成都市武侯区环球中心天堂岛海洋乐园(新世纪环球中心)	104.062850	30.570027	101001000032	环球中心天堂岛海洋乐园
[]	峨眉山-金顶索道	103.338232	29.522600	101001000086	金顶索道
天府大道北段1700号新世纪环球中心1F层	黑龙滩·长岛国际旅游度假区(新世纪环球中心)	104.064817	30.569104	101001000101	成都环球中心
长江西路一段	德阳文庙广场	104.391722	31.127669	101001000151	德阳文庙
华阳南湖大道南湖梦幻岛内	南湖梦幻岛体验公园-行政办公楼	104.053325	30.501680	101001000037	南湖梦幻岛
含增镇响石村黄金路	中华洞天风景区	104.612734	31.764627	101001000164	中华洞天
灵秀温泉	四川省乐山市峨眉山市灵秀温泉	103.450099	29.563489	101001000052	灵秀温泉
安仁古镇迎宾路80号(近金桂公馆酒店)建川博物馆聚落内	四川建川博物馆聚落-游览车	103.621771	30.500432	101001000041	四川建川博物馆聚落
蜀源北路与锦屏路交叉口西北60米	成都川菜博物馆导游全景图	103.930550	30.895004	101001000132	成都川菜博物馆
碧峰峡景区内	碧峰峡野生动物园	102.99649	30.076439	101001000031	碧峰峡野生动物世界
章谷镇	甲居藏寨	101.873369	30.919211	101001000131	甲居藏寨
碧峰镇碧峰峡旅游区碧峰峡野生动物园内	碧峰峡野生动物园-水帘洞	102.996169	30.076828	101001000029	碧峰峡
公园路都江堰景区大门外侧	南桥	103.615948	30.996316	101001000084	南桥
芳邻路5号	百花潭公园	104.043653	30.656117	101001000172	百花潭公园
幸福联合七组308号	秀丽东方	104.131431	30.579293	101001000058	秀丽东方
万春镇天乡路98号	国色天乡乐园	103.825546	30.722273	101001000026	国色天乡陆地乐园
西南牟尼乡牟尼沟风景区	牟尼沟风景区扎嘎瀑布	103.501188	32.560977	101001000158	牟尼沟风景区
指挥街108号(锦江宾馆地铁站C2口步行350米)	芙蓉国粹川剧变脸(省川剧院)	104.068649	30.651630	101001000025	《芙蓉国粹》变脸秀
漱玉路6号	刻碑修山箍坟	103.942523	29.204895	101001000120	翠屏山景区
东盐都大道	中华彩灯大世界	104.849088	29.368554	101001000020	自贡·中华彩灯大世界
桂溪乡金宝石村	九皇山	104.689652	31.934696	101001000051	九皇山
梵高星空艺术馆(春熙路旗舰店)	四川省成都市锦江区梵高星空艺术馆(春熙路旗舰店)	104.077203	30.656916	101001000195	梵高星空艺术馆（成都春熙路旗舰店）
中国彩灯博物馆	四川省自贡市自流井区中国彩灯博物馆	104.768751	29.351456	101001000198	中国彩灯博物馆
人民路237号	人民公园	104.616445	28.762633	101001000068	人民公园
新南路2号成都旅游集散中心广场(新南门地铁站C口旁)	成都旅游集散中心广场	104.074691	30.645099	101001000034	成都city tour观光巴士
大山铺镇206省道自贡恐龙博物馆内	自贡恐龙博物馆碑	104.828165	29.396248	101001000028	自贡恐龙博物馆
猛追湾街168号	天府熊猫塔	104.09458	30.662303	101001000061	天府熊猫塔
草堂路28号成都杜甫草堂博物馆内	杜甫草堂-杜陵村	104.027101	30.661617	101001000046	成都博物馆
崇阳街道大东街306号	宫保府	103.678384	30.628397	101001000093	四川博物院
鑫玉大道130水果侠星球	许愿树广场	103.600978	30.972931	101001000183	都江堰水果侠星球
平乐镇	花楸山风景区	103.291695	30.390694	101001000135	平乐古镇
青城山路	青城山景区	103.563817	30.9044	101001000008	青城山
青城国际马术俱乐部	四川省成都市崇州市青城国际马术俱乐部	103.588394	30.803498	101001000201	青城国际马术俱乐部
熊猫酷玩运动农场	四川省成都市都江堰市熊猫酷玩运动农场	103.681682	30.977844	101001000202	熊猫酷玩运动农场
塔公镇	木雅大寺	101.58683	30.332971	101001000210	木雅大寺
	大渡河峡谷国家地质公园-古路彝寨	102.960322	29.300992	101001000211	大渡河大桥
炉城镇南郊	金刚寺	101.960050	30.037550	101001000212	金刚寺
磨西镇磨西电话销售点	磨西古镇	102.126990	29.640680	101001000213	磨西古镇
花水湾镇	花水湾温泉旅游度假区	103.247686	30.546395	101001000203	花水湾温泉度假区
贡嘎山镇子梅村	子梅垭口	101.722933	29.515378	101001000204	雅哈垭口
[]	红海子	101.778726	30.180763	101001000205	红海子
塔公镇多日阿嘎莫	青绕神山	101.631903	30.279573	101001000206	青绕神山
贡嘎山镇子梅村	子梅垭口	101.722933	29.515378	101001000207	雅哈垭口
燕子沟	燕子沟-康定雅家情海	102.030791	29.864507	101001000208	雅家情海
四川省甘孜州康定县将军桥溜溜城老街	溜溜城	101.964207	30.049190	101001000209	溜溜城
434省道西南30米	塔公乡江巴格萨尔草原	101.669125	30.192250	101001000214	434省道
甘孜康定机场(国内到达)	四川省甘孜藏族自治州康定市甘孜康定机场(国内到达)	101.752061	30.129853	101001000215	康定机场
折多河	四川省甘孜藏族自治州康定市折多河	101.970184	30.052411	101001000216	折多河
武侯祠大街231号	锦里结义楼三国演出	104.049638	30.647656	101001000217	锦里结义楼
(九狮山风景区西侧约50米)	三国城	105.428708	28.962145	101001000218	三国茶园
阆水中路33号	阆中古城	105.969328	31.574237	101001000219	中谷温泉
建设路	莲花池	104.433390	28.635966	101001000220	建设路
纱帽街8号(春熙路地铁站B口步行190米)	太古里东广场	104.083816	30.653129	101001000221	太古里
泸桥镇	泸定桥	102.231637	29.9118	101001900008	泸定桥
Z002县道	二道桥温泉	101.951245	30.084713	101001900011	康定二道桥温泉
南无村炉城南路1号	南无寺(暂停开放)	101.957256	30.039298	101001900012	南无寺
塔公乡塔公草原上(距新都桥镇约36.6公里)	塔公寺	101.522306	30.318657	101001900013	塔公寺
[]	雅拉雪山观景台	101.618675	30.527263	101001900014	雅拉雪山
大礼堂	康定情歌广场	101.963946	30.050514	101001900015	康定情歌广场
香格里拉镇	甘孜稻城亚丁景区	100.286793	28.458898	101001900017	稻城亚丁
